epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,201.964,2.45741,3.87338,1.57339,0.00347,0.44697,0.00361,0.00116,2.26251,4.2262,1.6332,0.00056,0.00056,0.00056
2,398.801,2.40444,3.05467,1.52943,0.0027,0.34754,0.0021,0.00078,2.31235,4.25442,1.71234,0.00113624,0.00113624,0.00113624
3,600.181,2.44493,3.08345,1.54659,0.22277,0.01799,0.02397,0.00734,2.48439,4.03675,1.74937,0.00170865,0.00170865,0.00170865
4,797.737,2.39477,2.8833,1.53275,0.14042,0.15057,0.06941,0.02448,2.39988,3.58417,1.8416,0.0019802,0.0019802,0.0019802
5,991.299,2.34962,2.74579,1.53815,0.18212,0.12784,0.06977,0.02333,2.48676,3.30385,1.65897,0.0019736,0.0019736,0.0019736
6,1183.22,2.3739,2.66044,1.50824,0.15508,0.1089,0.07141,0.02392,2.51721,3.15216,1.63683,0.001967,0.001967,0.001967
7,1374.82,2.36096,2.59544,1.54486,0.1327,0.14678,0.06768,0.02113,2.64379,3.16981,1.63936,0.0019604,0.0019604,0.0019604
8,1565.19,2.3408,2.50901,1.50524,0.23113,0.16761,0.10524,0.03337,2.51931,2.91839,1.62991,0.0019538,0.0019538,0.0019538
9,1755.92,2.40262,2.38649,1.5533,0.24973,0.22538,0.13974,0.05155,2.3991,3.02153,1.68721,0.0019472,0.0019472,0.0019472
10,1945.04,2.32025,2.31836,1.48557,0.25066,0.17708,0.11848,0.04401,2.43967,2.84624,1.65161,0.0019406,0.0019406,0.0019406
11,2146.51,2.34267,2.3434,1.5351,0.26241,0.18466,0.13276,0.04844,2.47218,2.77451,1.59149,0.001934,0.001934,0.001934
12,2351.7,2.29434,2.27735,1.51114,0.27122,0.23965,0.17128,0.05874,2.37477,2.54444,1.58688,0.0019274,0.0019274,0.0019274
13,2542.56,2.23559,2.17147,1.47946,0.33539,0.24621,0.19111,0.06744,2.39768,2.61013,1.60927,0.0019208,0.0019208,0.0019208
14,2730.63,2.21678,2.10716,1.45509,0.33345,0.25947,0.20073,0.0673,2.46629,2.52452,1.69425,0.0019142,0.0019142,0.0019142
15,2917.8,2.27485,2.16072,1.49988,0.3207,0.23674,0.18959,0.06569,2.36357,2.52503,1.61042,0.0019076,0.0019076,0.0019076
16,3105.1,2.24412,2.16257,1.46885,0.36446,0.24337,0.20795,0.07779,2.34441,2.39958,1.59232,0.001901,0.001901,0.001901
17,3293.17,2.23133,2.03337,1.45122,0.37008,0.25481,0.19274,0.06747,2.34193,2.4835,1.71271,0.0018944,0.0018944,0.0018944
18,3481.21,2.16704,2.08722,1.41302,0.33162,0.29412,0.20754,0.078,2.3241,2.73641,1.59414,0.0018878,0.0018878,0.0018878
19,3669.11,2.1749,1.99226,1.41101,0.36003,0.26989,0.19535,0.07087,2.41193,2.60653,1.58382,0.0018812,0.0018812,0.0018812
20,3857.6,2.21926,1.99825,1.4245,0.32012,0.25568,0.19154,0.07152,2.35004,2.47137,1.59247,0.0018746,0.0018746,0.0018746
21,4046.09,2.20309,1.93858,1.41778,0.36003,0.26042,0.2099,0.07694,2.37305,2.30693,1.59657,0.001868,0.001868,0.001868
22,4234.89,2.10419,1.89895,1.40642,0.38617,0.27936,0.21932,0.08006,2.30734,2.36221,1.57754,0.0018614,0.0018614,0.0018614
23,4421.83,2.1705,1.97431,1.42476,0.38946,0.29451,0.22179,0.08199,2.32323,2.49411,1.59682,0.0018548,0.0018548,0.0018548
24,4609.95,2.0632,1.86898,1.37898,0.35906,0.32148,0.24509,0.08795,2.34313,2.5272,1.58096,0.0018482,0.0018482,0.0018482
25,4798.3,2.10735,1.87495,1.37811,0.33142,0.24053,0.17619,0.06389,2.44516,2.37426,1.57114,0.0018416,0.0018416,0.0018416
26,4986.56,2.10426,1.89553,1.37969,0.35341,0.23958,0.19467,0.06942,2.44887,2.35353,1.64959,0.001835,0.001835,0.001835
27,5175.91,2.07597,1.84729,1.40274,0.32465,0.29356,0.20941,0.07211,2.40906,2.4539,1.62349,0.0018284,0.0018284,0.0018284
28,5317.01,2.07801,1.75211,1.38286,0.37031,0.2983,0.23355,0.08581,2.32445,2.23492,1.59943,0.0018218,0.0018218,0.0018218
29,5437.23,2.08135,1.84471,1.42122,0.42105,0.29735,0.23674,0.08724,2.3665,2.24551,1.6716,0.0018152,0.0018152,0.0018152
30,5556.88,2.09407,1.81158,1.39452,0.3677,0.27557,0.22731,0.08949,2.31591,2.38188,1.59945,0.0018086,0.0018086,0.0018086
31,5676.38,2.06703,1.82781,1.36202,0.35461,0.27367,0.22357,0.08412,2.34952,2.33903,1.57165,0.001802,0.001802,0.001802
32,5795.77,2.13327,1.83738,1.38575,0.38962,0.27083,0.2396,0.08595,2.31924,2.33692,1.61146,0.0017954,0.0017954,0.0017954
33,5915.04,2.03214,1.70854,1.37087,0.41222,0.28956,0.24266,0.09015,2.30422,2.24599,1.60054,0.0017888,0.0017888,0.0017888
34,6034.45,2.00238,1.68751,1.35365,0.38238,0.32008,0.2548,0.09677,2.31043,2.25363,1.62799,0.0017822,0.0017822,0.0017822
35,6153.57,1.95854,1.63355,1.34511,0.37851,0.2803,0.22882,0.08296,2.41756,2.3149,1.67753,0.0017756,0.0017756,0.0017756
36,6272.82,2.02002,1.69866,1.33641,0.34542,0.31061,0.23116,0.08442,2.3548,2.22121,1.59201,0.001769,0.001769,0.001769
37,6392.29,1.98578,1.64628,1.3143,0.41057,0.29221,0.25022,0.09663,2.31503,2.25297,1.59288,0.0017624,0.0017624,0.0017624
38,6512.22,2.02385,1.66844,1.35333,0.39645,0.33049,0.26651,0.09578,2.35656,2.16373,1.62329,0.0017558,0.0017558,0.0017558
39,6631.74,1.97111,1.63447,1.33248,0.40397,0.29451,0.25011,0.0966,2.2908,2.17263,1.61338,0.0017492,0.0017492,0.0017492
40,6751.14,2.01557,1.62684,1.38829,0.42287,0.34375,0.27616,0.10126,2.32402,2.1498,1.61728,0.0017426,0.0017426,0.0017426
41,6871.28,1.98362,1.6676,1.34429,0.41372,0.3125,0.26213,0.09779,2.2788,2.21965,1.55475,0.001736,0.001736,0.001736
42,6990.86,1.93465,1.5865,1.31785,0.37565,0.31913,0.25253,0.09531,2.36201,2.11784,1.59329,0.0017294,0.0017294,0.0017294
43,7109.93,1.94894,1.54659,1.3082,0.40481,0.33298,0.28211,0.10397,2.35484,2.16066,1.62239,0.0017228,0.0017228,0.0017228
44,7229.35,1.94622,1.58996,1.30845,0.40892,0.25852,0.21895,0.08196,2.4049,2.28731,1.60585,0.0017162,0.0017162,0.0017162
45,7348.63,1.97737,1.60266,1.32851,0.3482,0.30019,0.22712,0.08417,2.40731,2.19937,1.61919,0.0017096,0.0017096,0.0017096
46,7468.46,1.94902,1.58225,1.3279,0.37034,0.2642,0.21429,0.07757,2.42848,2.31859,1.63148,0.001703,0.001703,0.001703
47,7587.79,1.94091,1.55392,1.31837,0.40795,0.30019,0.25935,0.10156,2.36412,2.21429,1.58387,0.0016964,0.0016964,0.0016964
48,7707.66,1.89506,1.50439,1.29643,0.43773,0.31629,0.27309,0.09866,2.40323,2.12507,1.58752,0.0016898,0.0016898,0.0016898
49,7827.48,1.87862,1.47178,1.27481,0.40065,0.31534,0.25799,0.09116,2.43198,2.22966,1.63221,0.0016832,0.0016832,0.0016832
50,7946.85,1.91269,1.52267,1.30046,0.43381,0.3286,0.26713,0.09838,2.34744,2.21481,1.60564,0.0016766,0.0016766,0.0016766
51,8066.32,1.82147,1.44215,1.27827,0.41325,0.29735,0.24989,0.09234,2.33862,2.17562,1.61962,0.00167,0.00167,0.00167
52,8186.01,1.83417,1.41517,1.2527,0.39491,0.29789,0.23293,0.08424,2.38952,2.28956,1.61504,0.0016634,0.0016634,0.0016634
53,8306.44,1.89229,1.51908,1.29305,0.38566,0.31913,0.24606,0.09077,2.33125,2.11783,1.62998,0.0016568,0.0016568,0.0016568
54,8426.31,1.83589,1.46996,1.25174,0.41462,0.29167,0.23756,0.08155,2.39109,2.35539,1.62222,0.0016502,0.0016502,0.0016502
55,8545.85,1.85718,1.48947,1.25886,0.44868,0.32386,0.27461,0.10066,2.35304,2.10133,1.61636,0.0016436,0.0016436,0.0016436
56,8664.83,1.8513,1.45769,1.25527,0.42653,0.33807,0.28393,0.11102,2.3617,2.0628,1.61657,0.001637,0.001637,0.001637
57,8784.56,1.8566,1.49253,1.26206,0.41599,0.31818,0.27866,0.10397,2.31393,2.23181,1.61163,0.0016304,0.0016304,0.0016304
58,8903.51,1.83622,1.40317,1.2435,0.39661,0.31629,0.26454,0.09753,2.37816,2.2579,1.64572,0.0016238,0.0016238,0.0016238
59,9021.85,1.81337,1.38127,1.23425,0.44255,0.34659,0.28537,0.10578,2.34719,2.04219,1.62133,0.0016172,0.0016172,0.0016172
60,9140.24,1.83124,1.39262,1.24234,0.39584,0.33938,0.26135,0.0996,2.33598,2.1554,1.64224,0.0016106,0.0016106,0.0016106
61,9259,1.828,1.41337,1.25078,0.39537,0.34091,0.27033,0.10441,2.3551,2.13109,1.66768,0.001604,0.001604,0.001604
62,9378.28,1.79466,1.37491,1.25428,0.3794,0.32481,0.24836,0.0912,2.39148,2.18327,1.57592,0.0015974,0.0015974,0.0015974
63,9495.69,1.82228,1.38986,1.2417,0.39395,0.33617,0.27146,0.1011,2.38152,2.07696,1.63386,0.0015908,0.0015908,0.0015908
64,9614.27,1.79221,1.35174,1.27685,0.38392,0.31629,0.26025,0.09692,2.37877,2.17687,1.65475,0.0015842,0.0015842,0.0015842
65,9733.7,1.77626,1.38353,1.21915,0.39507,0.32008,0.26298,0.0957,2.40084,2.12015,1.61131,0.0015776,0.0015776,0.0015776
